chr	start	end	length	nCG	Methylation_patient	Methylation_control	diff.Methy	areaStat
chr21	44818505	44819033	529	96	0.455274705709795	0.76017345528611	-0.30489875	-582.1288313
chr21	44801439	44801986	548	130	0.171022220237268	0.369888747767783	-0.198866528	-561.0553742
chr21	44939655	44940278	624	129	0.28077756782608	0.140848492327808	0.139929075498272	504.570802367836
chr21	45018111	45018558	448	77	0.511408335910953	0.29435552730237	0.217052808608583	375.600005077165
chr21	44848755	44849262	508	54	0.950256346283762	0.810745980696276	0.139510365587487	234.718098110611
chr21	44817480	44817771	292	60	0.253619865880926	0.419250775741971	-0.16563091	-189.9363693
chr21	44872757	44873073	317	54	0.150902312972301	0.297320400476524	-0.146418088	-167.1108113
chr21	45075409	45075557	149	41	0.277752251702866	0.159873184813239	0.117879066889627	127.458834000319
chr21	44855088	44855528	441	31	0.256474909631794	0.462597477952355	-0.206122568	-115.8751568
chr21	45032382	45032611	230	37	0.881825486727359	0.772185519887799	0.10963996683956	94.5075920313927
chr21	45040833	45041054	222	27	0.832470838131413	0.617043586609884	0.215427251521529	92.6002201187378
chr21	44836949	44837176	228	29	0.919790441324844	0.820575023954276	0.0992154173705683	88.8517919226495
chr21	45114356	45114666	311	16	0.489242370024458	0.177507928785927	0.311734441238531	76.000478121876
chr21	45086595	45086847	253	24	0.73401763823543	0.565665426478542	0.168352211756888	74.5920865145239
chr21	44697273	44697522	250	21	0.712423787182216	0.925866385779748	-0.213442599	-71.85088902
chr21	44980620	44980806	187	18	0.739885400334481	0.56295266707916	0.176932733255321	66.0405564017725
chr21	45093284	45093528	245	17	0.714801581146119	0.463822660562078	0.250978920584041	60.2777228745635
chr21	45073112	45073254	143	23	0.940576205557812	0.873798189555002	0.06677801600281	59.3810898138814
chr21	44908627	44908771	145	16	0.881043160501953	0.7101643849826	0.170878775519353	56.727578798473
chr21	44711216	44711372	157	16	0.253691758312951	0.108282890494426	0.145408867818526	46.2353584429544
chr21	44728464	44728560	97	13	0.837933669079389	0.953541059841657	-0.115607391	-41.79929609
chr21	44903283	44903411	129	14	0.865892619722408	0.978337648103803	-0.112445028	-39.78281354
chr21	44944728	44944853	126	13	0.976998572399916	0.881243359901379	0.0957552124985361	37.0998925420099
chr21	44899757	44899915	159	12	0.954570407914302	0.854231895250118	0.100338512664184	36.0508333396933
chr21	45019508	45019587	80	10	0.731013521990235	0.884646867142452	-0.153633345	-35.55595599
chr21	44708057	44708137	81	13	0.391937272637542	0.203736157795064	0.188201114842478	33.8320714046059
chr21	44874245	44874305	61	9	0.0989413722838868	0.271478232450553	-0.17253686	-33.61089893
chr21	44994728	44994818	91	11	0.897836300904179	0.956989248743135	-0.059152948	-30.94736381
chr21	44948277	44948330	54	13	0.851530610421309	0.910953943585122	-0.059423333	-30.26856222
chr21	44770448	44770574	127	11	0.972786858945318	0.902676133924874	0.0701107250204439	29.9177210231699
chr21	45113672	45113811	140	7	0.816361294129465	0.515051797647647	0.301309496481818	29.7900316293701
chr21	44945883	44945954	72	11	0.958907216228459	0.88399402026446	0.0749131959639997	27.5100118948136
chr21	44981051	44981117	67	7	0.754538889195038	0.560836180481444	0.193702708713594	26.5915508954159
chr21	44903483	44903541	59	11	0.899470336745902	0.976292935732336	-0.076822599	-25.78152072
chr21	44969800	44969869	70	9	0.634192879956727	0.455797456271279	0.178395423685449	25.3500424094611
chr21	44753354	44753425	72	9	0.905374568359764	0.821408613594037	0.0839659547657269	22.9570430362167
chr21	44876233	44876291	59	9	0.828183444864036	0.71225193171635	0.115931513147686	22.0773728895789
chr21	44893107	44893164	58	8	0.420688518701934	0.25470816916015	0.165980349541784	21.7256565687637
chr21	45000233	45000309	77	7	0.929111842602101	0.816542290699615	0.112569551902486	21.6816646158194
chr21	44869011	44869070	60	7	0.558086992417238	0.770079754214713	-0.211992762	-19.05658243
chr21	44750723	44750819	97	7	0.387187999514904	0.585105963510791	-0.197917964	-18.98244482
chr21	45017518	45017612	95	7	0.845197241157822	0.975652186246965	-0.130454945	-18.65833087
chr21	44868689	44868836	148	5	0.586209643377879	0.815732723540093	-0.22952308	-15.44868317
chr21	45105752	45105803	52	5	0.942191503927769	0.757288498140369	0.1849030057874	14.1433263714044
chr21	44748163	44748214	52	5	0.969718570252911	0.855793707044379	0.113924863208532	12.6507210218319
chr21	44827326	44827386	61	5	0.917771877476623	0.986534218991187	-0.068762342	-12.46633942
chr21	45112491	45112547	57	5	0.97880106280401	0.879515103225304	0.0992859595787052	11.0650876570691
